makeid,modelid,manufacturerid,vin,batteryinfo,batterytype,bedtype,bodycabtype,bodyclass,enginecylinders,destinationmarket,displacementcc,displacementci,displacementl,doors,drivetype,driverassist,enginecycles,enginemodel,enginekw,entertainmentsystem,fueltypeprimary,gvwr,make,manufacturer,model,modelyear,plantcity,seats,series,steeringlocation,transmissionstyle,trim,vehicletype,windows,axles,brakesystemtype,batterycells,bedlengthin,brakesystemdesc,curbweightlb,airbagloccurtain,airbaglocseatcushion,batterya,batteryv,batterykwh,wheelbasetype,seatrows,valvetraindesign,transmissionspeeds,engineconfiguration,airbaglocfront,fueltypesecondary,fuelinjectiontype,airbaglocknee,enginehp,evdriveunit,plantcountry,plantcompanyname,plantstate,pretensioner,seatbeltsall,adaptivecruisecontrol,adaptiveheadlights,abs,cib,blindspotmon,ncsabodytype,ncsamake,ncsamodel,esc,tractioncontrol,forwardcollisionwarning,lanedeparturewarning,lanekeepsystem,rearvisibilitysystem,parkassist,airbaglocside,trim2,series2,wheelbaseshort,wheelbaselong,note,wheels,trailertype,trailerbodytype,trailerlength,wheelsizefront,wheelsizerear,otherrestraintsysteminfo,coolingtype,enginehp_to,electrificationlevel,chargerlevel,chargerpowerkw,otherengineinfo,batterya_to,batteryv_to,batterykwh_to,turbo,baseprice,batterymodules,batterypacks,topspeedmph,suggestedvin,errorcode,possiblevalues,axleconfiguration,enginemanufacturer,buslength,busfloorconfigtype,bustype,otherbusinfo,custommotorcycletype,motorcyclesuspensiontype,motorcyclechassistype,othermotorcycleinfo,othertrailerinfo,additionalerrortext,cashforclunkers,trackwidth,tpms,activesafetysysnote,dynamicbrakesupport,pedestrianautomaticemergencybraking,autoreversesystem,automaticpedestrianalertingsound,can_aacn,edr,keylessignition,daytimerunninglight,lowerbeamheadlamplightsource,semiautomaticheadlampbeamswitching,adaptivedrivingbeam,saeautomationlevel,saeautomationlevel_to,rearcrosstrafficalert,gcwr,gcwr_to,ncsanote,ncsamappingexception,ncsamapexcapprovedon,ncsamapexcapprovedby,gvwr_to,errortext,rearautomaticemergencybraking,blindspotintervention,lanecenteringassistance,nonlanduse,vehicledescriptor,fueltanktype,fueltankmaterial,combinedbrakingsystem,wheeliemitigation
449,2131,1042,WDCYC3HF0DX338929,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),8,,5500.0,335.63059252102,5.5,4,AWD/All-Wheel Drive,,,,,,Gasoline,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",MERCEDES-BENZ,MERCEDES-BENZ CARS,G-Class,2013,GRAZ,,G550,,,4-MATIC,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,,,,,,,,,,V-Shaped,1st Row (Driver and Passenger),,,,,,AUSTRIA,,,Yes,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,"Some of the decoding information provided may vary for non-U.S. market vehicles., Option armored vehicle: GVWR Class H (9,001 lbs to 10,000 lbs)",,Not Applicable,Not Applicable,,,,Type 2 seat belts for all occupants. Seat belts on all outboard designated seating position are equipped with load limiters and pretensioners.,,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WDCYC3HF*DX,,,,
482,8119,16478,3VW4T7AT0EM080234,,,Not Applicable,Not Applicable,Hatchback/Liftback/Notchback,4,,1984,121.071108283,1.984000,2,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",VOLKSWAGEN,VOLKSWAGEN DE MEXICO SA DE CV,Beetle,2014,PUEBLA,,R-Line,,Manual/Standard,,PASSENGER CAR,,,,,,,,1st Row (Driver and Passenger),,,,,,,,6,,1st Row (Driver and Passenger),,,,210,,MEXICO,,,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,Restraint System: Active - Dr/Pass; Front Air Bag - Dr/Pass; Advanced Front Air Bags; Side Impact Air Bags - Front,,,,,,Fuel: GAS (50-St); Federal / California Emission Standard: BIN 3 / PZEV; Emissions Certification Test Group: EVWXV02.03PA,,,,,,,,,,0,,,Volkswagen,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,3VW4T7AT*EM,,,,
469,4311,984,1G6YV36A595133863,,,Not Applicable,Not Applicable,Convertible/Cabriolet,8,,4600.0,280.70922283576,4.6,2,,,,LH2,,,Gasoline,,CADILLAC,GENERAL MOTORS LLC,XLR,2009,BOWLING GREEN,,Platinum Package,,,,PASSENGER CAR,,,,,,,,,,,,,,,Dual Overhead Cam (DOHC),,V-Shaped,1st Row (Driver and Passenger),,Sequential Fuel Injection (SFI),,,,UNITED STATES (USA),,KENTUCKY,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,GM code: 67,,Not Applicable,Not Applicable,,,,Occupant Sensor,,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,1G6YV36A*95,,,,
477,25754,995,2C3CA6CT7BH574567,,,Not Applicable,Not Applicable,Sedan/Saloon,8,"U.S., Canada, Mexico, Other Export Market (BUX)",5700.0,347.83534133997,5.7,4,RWD/Rear-Wheel Drive,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",CHRYSLER,FCA CANADA INC.,300C,2011,BRAMPTON,,LX,Left-Hand Drive (LHD),,,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,CANADA,Brampton Assembly,ONTARIO,,Manual,,,,,,,,,,,,,,,,All Rows,S (Sport),,,,Body Style is Sedan Tall,,Not Applicable,Not Applicable,,,,,,,,,,"Sales Code for Engine - EZC,EZE,EZH",,,,No,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,2C3CA6CT*BH,,,,
452,1717,968,5UXFB53576L284435,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),8,,4400.0,268.4,4.4,4,,,,,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",BMW,BMW MANUFACTURER CORPORATION / BMW NORTH AMERICA,X5,2006,GREER,,,,,4.4i,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,315,,UNITED STATES (USA),,SOUTH CAROLINA,,Manual,,,,,,,,,,,,,,,,,SAV,,111,,"BMW NA Code: 0662  Serial Numbers Manual **, Automatic LV19222-LV19231 , LV19678-LV19680 , LV19681,LV20508-  Shipping Weight   Std.=NA  SMG=NA  Auto.=4927  GVWR   Std. = -  ,SMG = -  ,Auto. = 6008   GAWR Front = 2789 ,Rear = 3307 ,Service Load = 1080  Length w/ bumpers = 183.7 ,Width = 73.7 ,Height = 67.2 ,Track Front = 61.4 ,Track Rear = 61.4  ",,Not Applicable,Not Applicable,,,,"Dual-stage suppl. restraint system (SRS) certified to the advanced airbag requiremnets of FMVSS 208, S14.",,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Indirect,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,5UXFB535*6L,,,,
582,3148,1149,WAUML64B64N281735,,,Not Applicable,Not Applicable,Sedan/Saloon,8,,4172,254.591060363,4.172000,4,,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",AUDI,AUDI AG,A6,2004,NECKARSULM,,4.2,,,,PASSENGER CAR,,,,,,,,1st and 2nd Rows,,,,,,,,,,1st Row (Driver and Passenger),,,,300,,GERMANY,,,,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,Active Seat Belt.,,,,,,50-St/Can. BIN 9 / LEV emission std.  Emissions Certification Test Group: 4ADXV04.2345,,,,,,,,,,0,,,Audi,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,WAUML64B*4N,,,,
469,1844,984,1GYEE53A190440096,,,,,Sport Utility Vehicle (SUV)/Multi-Purpose Vehicle (MPV),8,,4600.0,280.70922283576,4.6,4,AWD/All-Wheel Drive,,,LH2,,,Gasoline,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",CADILLAC,GENERAL MOTORS LLC,SRX,2009,LANSING,,V8,,,,MULTIPURPOSE PASSENGER VEHICLE (MPV),,,Hydraulic,,,,,,,,,,,,Dual Overhead Cam (DOHC),,V-Shaped,,,Sequential Fuel Injection (SFI),,,,UNITED STATES (USA),,MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,Direct,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,1GYEE53A*90,,,,
440,1687,956,SCFAD01AX5G483903,,,Not Applicable,Not Applicable,Coupe,12,,5900.0,360.04009015892,5.9,2,,,,AM04,336,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",ASTON MARTIN,ASTON MARTIN LAGONDA LIMITED,DB9,2005,GAYDON,4,,Left-Hand Drive (LHD),Automatic,,PASSENGER CAR,,,,,,,,,,,,,,2,,,V-Shaped,1st Row (Driver and Passenger),,,,,,UNITED KINGDOM (UK),,WARWICKSHIRE,Yes,Manual,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,,Not Applicable,Not Applicable,,,,"Restraint Type 1 (VH1 Seat), Seat Belts: 3-point ELR + Pyro Pretensioners",,,,,,,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,SCFAD01A*5G,,,,
492,2055,1002,3C3CFFDR4CT787568,,,Not Applicable,Not Applicable,Convertible/Cabriolet,4,,1400.0,85.43324173262,1.4,2,FWD/Front-Wheel Drive,,,,,,Gasoline,"Class 1: 6,000 lb or less (2,722 kg or less)",FIAT,CHRYSLER DE MEXICO TOLUCA,500,2012,TOLUCA,,FF,Left-Hand Drive (LHD),,Pop,PASSENGER CAR,,,,,,,,,,,,,,,,,,1st Row (Driver and Passenger),,,,,,MEXICO,Toluca Assembly,STATE OF MEXICO,Yes,Manual,,,,,,,,,,,,,,,,All Rows,,,,,,,Not Applicable,Not Applicable,,,,"Active Belts: All Seating Positions, Airbag: Outboard Seating Positions, Active Seatbelts for all seating positions.",,,,,,"Sales Code: EAB,EAC,EAE,EAJ,EAK",,,,No,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Class 1: 6,000 lb or less (2,722 kg or less)",0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,3C3CFFDR*CT,,,,
481,5808,1052,JA32X8HW0AU098449,,,Not Applicable,Not Applicable,Hatchback/Liftback/Notchback,,,2400.0,146.45698582735,2.4,5,4x2,,,,,,Gasoline,,MITSUBISHI,MITSUBISHI MOTORS CORPORATION (MMC),Lancer SportBack,2010,MIZUSHIMA,,Sports,,,,PASSENGER CAR,,,,,,,,1st and 2nd Rows,,,,,,,Dual Overhead Cam (DOHC),,,1st Row (Driver and Passenger),,,,,,JAPAN,,,,Manual,,,,,,,,,,,,,,,,1st and 2nd Rows,,,,,,,Not Applicable,Not Applicable,,,,,,,,,,MIVEC,,,,,,,,,,0,,,,,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0 - VIN decoded clean. Check Digit (9th position) is correct,,,,,JA32X8HW*AU,,,,
