DecodingId,CreatedOn,PatternId,Keys,VinSchemaId,WmiId,ElementId,AttributeId,Value,Source,Priority,TobeQCed
1,43:29.7,500087,*Y**1,3500,2330,129,PORT,XXX,Pattern,2013,NULL
1,21:12.0,500016,*Y**1,3561,2330,129,PORT,XXX,Pattern,2014,NULL
1,59:37.4,500186,*Y**1,10495,2330,129,PORT,XXX,Pattern,2010,NULL
1,20:08.9,1566427,H[WY]**1,10834,2330,3,2,XXX,Pattern,2016,NULL
1,50:52.2,1394730,****1,16696,2330,14,4,XXX,Pattern,2018,NULL
1,53:13.3,1573319,[FH]***1,16696,2330,109,CrewMax,XXX,Pattern,2018,NULL
1,49:03.0,1382688,*[MYW]**1,20124,2330,67,3,XXX,Pattern,2019,NULL
1,NULL,1582756,**5F1,22022,NULL,26,448,TOYOTA,pattern - model,1000,NULL
1,NULL,1582768,*Y*F1,22022,2330,11,5700,5700,Conversion 4: 5.7 * 1000,100,NULL
1,NULL,1582768,*Y*F1,22022,2330,12,347.8353413,347.8353413,Conversion 7: 5.7 / 0.016387064 ,100,NULL
1,26:30.6,NULL,NULL,NULL,NULL,116,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,117,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,140,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,148,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,149,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,151,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,152,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,153,0,Not Applicable,Default,10,NULL
1,NULL,NULL,,NULL,NULL,142,,,Corrections,999,NULL
1,NULL,NULL,,NULL,NULL,143,11,11,Corrections,999,NULL
1,NULL,NULL,,NULL,NULL,144,,,Corrections,999,NULL
1,NULL,NULL,,NULL,NULL,156,"The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.","The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",Corrections,999,NULL
1,NULL,NULL,,NULL,NULL,191,"11 - Incorrect Model Year - Position 10 does not match valid model year codes (I, O, Q, U, Z, 0). Decoded data may not be accurate.","11 - Incorrect Model Year - Position 10 does not match valid model year codes (I, O, Q, U, Z, 0). Decoded data may not be accurate.",Corrections,999,NULL
1,NULL,NULL,,NULL,NULL,196,5TFHY5F1*JX,5TFHY5F1*JX,Corrections,999,NULL
1,23:57.9,1582824,*Y**1,21255,2330,129,Fuel Delivery / Fuel Injection Type: PORT,XXX,Pattern,2020,NULL
1,05:15.3,1582755,**5F1,22022,2330,5,60,XXX,Pattern,2021,NULL
1,05:15.3,1582756,**5F1,22022,2330,28,2467,XXX,Pattern,2021,NULL
1,05:15.3,1582757,**5F1,22022,2330,34,USK51L/USK52L/USK56L/USK57L,XXX,Pattern,2021,NULL
1,29:41.3,1582761,**5F1,22022,2330,55,6,XXX,Pattern,2021,NULL
1,29:41.3,1582762,**5F1,22022,2330,65,3,XXX,Pattern,2021,NULL
1,29:41.3,1582763,**5F1,22022,2330,69,3,XXX,Pattern,2021,NULL
1,29:41.3,1582764,**5F1,22022,2330,79,1,XXX,Pattern,2021,NULL
1,05:15.3,1582758,**5F1,22022,2330,96,34,XXX,Pattern,2021,NULL
1,05:15.3,1582759,**5F1,22022,2330,97,49,XXX,Pattern,2021,NULL
1,05:15.3,1582760,**5F1,22022,2330,98,49000482,XXX,Pattern,2021,NULL
1,29:41.3,1582765,**5F1,22022,2330,107,3,XXX,Pattern,2021,NULL
1,29:41.3,1582766,**5F1,22022,2330,121,Seat Belts: All seats,XXX,Pattern,2021,NULL
1,50:17.1,1582767,*Y*F1,22022,2330,9,8,XXX,Pattern,2021,NULL
1,50:17.1,1582768,*Y*F1,22022,2330,13,5.7,XXX,Pattern,2021,NULL
1,50:17.1,1582769,*Y*F1,22022,2330,18,3UR-FE,XXX,Pattern,2021,NULL
1,50:17.1,1582770,*Y*F1,22022,2330,24,4,XXX,Pattern,2021,NULL
1,50:17.1,1582771,*Y*F1,22022,2330,64,2,XXX,Pattern,2021,NULL
1,50:17.1,1582772,*Y*F1,22022,2330,71,381,XXX,Pattern,2021,NULL
1,50:17.1,1582773,*Y*F1,22022,2330,129,Fuel Delivery / Injection Type: PORT,XXX,Pattern,2021,NULL
1,54:56.5,1582775,[UBCDHA]Y5F1,22022,2330,25,15,XXX,Pattern,2021,NULL
1,14:13.7,1582816,H**F1,22022,2330,4,4,XXX,Pattern,2021,NULL
1,14:13.7,1582817,H**F1,22022,2330,15,2,XXX,Pattern,2021,NULL
1,14:13.7,1582818,H**F1,22022,2330,38,Limited grade,XXX,Pattern,2021,NULL
1,14:13.7,1582819,H**F1,22022,2330,60,1,XXX,Pattern,2021,NULL
1,17:06.7,2110686,*****|*X,27268,2330,31,SAN ANTONIO,XXX,Pattern,2025,NULL
1,17:06.7,2110687,*****|*X,27268,2330,75,6,XXX,Pattern,2025,NULL
1,17:06.7,2110688,*****|*X,27268,2330,76,"Toyota Motor Manufacturing, Texas, Inc.",XXX,Pattern,2025,NULL
1,17:06.7,2110689,*****|*X,27268,2330,77,TEXAS,XXX,Pattern,2025,NULL
1,00:14.2,NULL,5TF,NULL,2330,39,3,TRUCK,VehType,100,NULL
1,NULL,NULL,5TF,NULL,2330,27,1090,"TOYOTA MOTOR MANUFACTURING, TEXAS, INC.",Manuf. Name,100,NULL
1,NULL,NULL,5TF,NULL,2330,157,1090,1090,Manuf. Id,100,NULL
