DecodingId,CreatedOn,PatternId,Keys,VinSchemaId,WmiId,ElementId,AttributeId,Value,Source,Priority,TobeQCed
1,02:38.6,1735165,**D,23640,12871,121,"Type 2 Manual Seatbelts (FR, SR*3), PODS",XXX,Pattern,2022,NULL
1,17:33.8,1851177,Y***E,23640,12871,129,Dual Motor – Standard,XXX,Pattern,2022,NULL
1,56:33.4,1852990,[XY]*D,24751,12871,121,"Type 2 Manual Seatbelts (FR, SR*3) / PODS",XXX,Pattern,2023,NULL
1,58:33.3,1852997,Y***E,24751,12871,129,Dual Motor – Standard,XXX,Pattern,2023,NULL
1,55:50.3,1997237,[XY]*D,26239,12871,121,"Type 2 Manual Seatbelts (FR, SR*3) / PODS",XXX,Pattern,2024,NULL
1,55:50.3,1997241,Y***E,26239,12871,129,Dual Motor – Standard,XXX,Pattern,2024,NULL
1,14:22.6,2129554,**D,27442,12871,121,"Type 2 Manual Seatbelts (FR, SR*3), PODS",XXX,Pattern,2025,NULL
1,17:43.7,2129562,Y***E,27442,12871,129,Dual Motor – Standard,XXX,Pattern,2025,NULL
1,12:54.3,2171643,*****|*A,27933,12871,31,AUSTIN,XXX,Pattern,2026,NULL
1,12:54.3,2171644,*****|*A,27933,12871,75,6,XXX,Pattern,2026,NULL
1,12:54.4,2171645,*****|*A,27933,12871,77,TEXAS,XXX,Pattern,2026,NULL
1,15:29.1,2171655,***E,27933,12871,24,2,XXX,Pattern,2026,NULL
1,15:29.2,2171656,***E,27933,12871,126,4,XXX,Pattern,2026,NULL
1,20:40.1,2171661,**[ABD],27933,12871,65,3,XXX,Pattern,2026,NULL
1,20:40.1,2171662,**[ABD],27933,12871,69,3,XXX,Pattern,2026,NULL
1,20:40.2,2171663,**[ABD],27933,12871,79,1,XXX,Pattern,2026,NULL
1,20:40.2,2171664,**[ABD],27933,12871,107,3,XXX,Pattern,2026,NULL
1,23:05.3,2171667,**D,27933,12871,121,"Type 2 Manual Seatbelts (FR, SR*3), PODS",XXX,Pattern,2026,NULL
1,17:20.9,2171659,Y***E,27933,12871,72,1,XXX,Pattern,2026,NULL
1,17:20.9,2171660,Y***E,27933,12871,129,Motor: Standard,XXX,Pattern,2026,NULL
1,14:40.7,2171646,YG,27933,12871,5,7,XXX,Pattern,2026,NULL
1,14:40.8,2171647,YG,27933,12871,14,5,XXX,Pattern,2026,NULL
1,14:40.8,2171648,YG,27933,12871,25,13,XXX,Pattern,2026,NULL
1,14:40.8,2171649,YG,27933,12871,28,27027,XXX,Pattern,2026,NULL
1,14:40.8,2171650,YG,27933,12871,36,1,XXX,Pattern,2026,NULL
1,14:40.9,2171651,YG,27933,12871,96,14,XXX,Pattern,2026,NULL
1,14:41.0,2171652,YG,27933,12871,97,29,XXX,Pattern,2026,NULL
1,14:41.0,2171653,YG,27933,12871,98,29000005,XXX,Pattern,2026,NULL
1,14:41.0,2171654,YG,27933,12871,190,13,XXX,Pattern,2026,NULL
1,53:05.3,NULL,7SA,NULL,12871,39,7,MULTIPURPOSE PASSENGER VEHICLE (MPV),VehType,100,NULL
1,NULL,NULL,7SA,NULL,12871,27,955,"TESLA, INC.",Manuf. Name,100,NULL
1,NULL,NULL,7SA,NULL,12871,157,955,955,Manuf. Id,100,NULL
1,NULL,2171649,YG,27933,NULL,26,441,TESLA,pattern - model,1000,NULL
1,26:30.6,NULL,NULL,NULL,NULL,116,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,117,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,140,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,148,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,149,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,151,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,152,0,Not Applicable,Default,10,NULL
1,26:30.6,NULL,NULL,NULL,NULL,153,0,Not Applicable,Default,10,NULL
1,NULL,NULL,,NULL,NULL,142,,,Corrections,999,NULL
1,NULL,NULL,,NULL,NULL,143,11,11,Corrections,999,NULL
1,NULL,NULL,,NULL,NULL,144,,,Corrections,999,NULL
1,NULL,NULL,,NULL,NULL,156,"The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.","The Model Year decoded for this VIN may be incorrect. If you know the Model year, please enter it and decode again to get more accurate information.",Corrections,999,NULL
1,NULL,NULL,,NULL,NULL,191,"11 - Incorrect Model Year - Position 10 does not match valid model year codes (I, O, Q, U, Z, 0). Decoded data may not be accurate.","11 - Incorrect Model Year - Position 10 does not match valid model year codes (I, O, Q, U, Z, 0). Decoded data may not be accurate.",Corrections,999,NULL
1,NULL,NULL,,NULL,NULL,196,7SAYGDEE*PA,7SAYGDEE*PA,Corrections,999,NULL
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
